,g0,g1,g2
0,5518087.0,3500055.0,3378530
1,3261610.0,7801377.0,4122541
2,2154105.0,8830004.0,2289297
3,3628601.0,7894105.0,9414327
4,8393527.0,9002921.0,7926633
5,8371181.0,2861630.0,2744491
6,4262104.0,5810166.0,6529327
7,4731217.0,5023118.0,4922245
8,6311520.0,6393986.0,7748571
9,4411549.0,8145375.0,1784979
10,8519179.0,8799357.0,1702317
11,8699995.0,6738937.0,2647670
12,1838508.0,3360200.0,5274956
13,5329311.0,8458599.0,9245857
14,4006013.0,3312077.0,4950537
15,8142618.0,7680659.0,2638547
16,9037967.0,6171724.0,5826040
17,6839112.0,3704966.0,2302599
18,6165231.0,7624796.0,3199349
19,5961204.0,8235486.0,3718192
20,9744587.0,1584309.0,9809827
21,6457402.0,7851177.0,6797783
22,9837476.0,9066340.0,3195820
23,5813967.0,6772488.0,6057512
24,9306765.0,6257926.0,2152820
25,8012852.0,2869121.0,2618758
26,9176657.0,9742786.0,4376901
27,3005552.0,,9818162
28,5865576.0,,2767857
29,9891351.0,,9421928
30,6135450.0,,3962285
31,5441260.0,,2272326
32,2336688.0,,5123916
33,3777033.0,,3243282
34,1468005.0,,3209321
35,3417203.0,,7098325
36,8692236.0,,3068218
37,9152350.0,,8733315
38,6851949.0,,1607194
39,4427100.0,,8718613
40,9401179.0,,2740813
41,5991735.0,,2409463
42,4708909.0,,2447318
43,9620106.0,,4186751
44,6472420.0,,1304297
45,7449285.0,,6492931
46,4121537.0,,6078374
47,6609618.0,,2297496
48,3630515.0,,7080732
49,8717334.0,,2631372
50,2856065.0,,1889600
51,3817174.0,,7521635
52,8735515.0,,4417113
53,4826483.0,,8975820
54,3173918.0,,9810479
55,8109799.0,,2167944
56,9331648.0,,6827055
57,4050962.0,,5152483
58,,,6861978
59,,,5548935
