day,# of students,comments
Week 1: Wednesday,,"This was supposed to be asych and I sent the email last week but still lots of
students missed it. Good thing I logged on anyway and explained it to the
students. Some students also had concerns and questions about the reading logs
so that was resolved. A couple students logged in late and I repeated the same
thing. Stayed until the end just to be safe.
"
Week 1: Friday,,(first admin class)
Week 2: Wednesday,70,
Week 2: Friday,,
Week 3: Wednesday,20,
Week 3: Friday,84,
Week 4: Wednesday,18,
Week 4: Friday,45,
Week 5: Wednesday,8,
Week 5: Friday,48,
Week 6: Wednesday,7,
Week 6: Friday,36,
Week 7: Wednesday,6,
Week 7: Friday,36,
Week 8: Wednesday,6,
Week 8: Friday,36,
Week 9: Wednesday,0,
Week 9: Friday,35,
Week 10: Wednesday,0,
Week 10: Friday,,"a few students came, to talk about peer evaluations and future goals"
Week 11: Wednesday,,several students attended to ask for programming help
Week 11: Friday,,no class: Easter
Week 12: Wednesday,10,
Week 12: Friday,,"support for make up main activity, mostly students came to ask for debugging
  help with project assignments"
