,g0,g1,g2
0,7044421.0,4708909.0,4466534
1,3628601.0,5469446.0,3173918
2,7801377.0,1784979.0,7015833
3,4156396.0,6135450.0,9037967
4,7926633.0,4731217.0,8692236
5,5518087.0,9744587.0,6529327
6,4922245.0,5452575.0,3378530
7,6311520.0,8145375.0,4427100
8,3195820.0,3360200.0,2409463
9,4006013.0,5991735.0,7748571
10,8519179.0,9983746.0,7748571
11,4411549.0,3209321.0,5961204
12,2647670.0,3500055.0,9002921
13,6851949.0,6393986.0,8736180
14,2302599.0,7521635.0,2297496
15,8393527.0,6839112.0,8830004
16,9891351.0,8371181.0,8830004
17,6057512.0,4122541.0,7894105
18,2289297.0,9306765.0,1702317
19,2167944.0,9983746.0,5826040
20,2856065.0,8735515.0,5274956
21,2336688.0,6738937.0,5022476
22,5329311.0,2618758.0,3745125
23,3962285.0,8799357.0,3817174
24,8126844.0,8235486.0,3199349
25,6609618.0,2861630.0,3694682
26,8699995.0,3005552.0,9245857
27,2631372.0,3068218.0,2638547
28,9176657.0,9809827.0,5865576
29,3630515.0,5813967.0,8718613
30,5023118.0,6165231.0,1838508
31,1607194.0,7680659.0,2937460
32,3704966.0,2272326.0,3718192
33,9810479.0,9414327.0,8142618
34,6078374.0,3243282.0,2154105
35,6457402.0,8717334.0,1889600
36,8458599.0,9401179.0,2740813
37,9818162.0,8733315.0,9742786
38,8012852.0,3777033.0,9837476
39,6171724.0,7624796.0,6827055
40,6257926.0,5991735.0,5810166
41,2869121.0,9620106.0,9152350
42,6393986.0,7449285.0,8109799
43,1468005.0,,4376901
44,9331648.0,,3417203
45,7851177.0,,6861978
46,8975820.0,,2447318
47,6797783.0,,2767857
48,,,4050962
49,,,7098325
50,,,1304297
51,,,2152820
52,,,4950537
53,,,1584309
54,,,4186751
55,,,3312077
56,,,5123916
57,,,5441260
58,,,4121537
59,,,4826483
60,,,9066340
61,,,6492931
62,,,4417113
63,,,5548935
64,,,5152483
