id,section,section_id,submitted,attempt,3091731: I do not think that I can learn to understand design and interaction concepts.,1.0,3091751: Men are more likely to excel in careers that involve design and interaction than women are.,1.0.1,3091755: A student who performs well in human computer interaction will probably not have a life outside of computers.,1.0.2,3091753: Men and women are equally capable of solving design and interaction problems.,1.0.3,3091754: Men and women can both excel in human computer interaction courses.,1.0.4,3091759: I am active in organizations or social groups that include mostly members of my own ethnic group.,1.0.5,3091748: Design and interaction is an appropriate subject for both men and women to study.,1.0.6,3091762: I was encouraged to pursue a human computer interaction project/course/degree/career.,1.0.7,3091733: I can achieve good grades (C or better) in human computer interaction courses.,1.0.8,3091730: I have little self-confidence when it comes to design and interaction courses.,1.0.9,3091741: I do not like using design and interaction to solve problems.,1.0.10,3091740: I like to use design and interaction to solve problems.,1.0.11,3091736: I would not take additional human computer interaction courses if I were given the opportunity.,1.0.12,3091750: Men produce higher quality work in design and interaction than women.,1.0.13,3091734: I am confident that I can solve problems by applying design skills.,1.0.14,3091756: A student who performs well in human computer interaction is likely to have a life outside of computers.,1.0.15,3091732: I can learn to understand design and interaction concepts.,1.0.16,3091739: The challenge of solving problems using design and interaction does not appeal to me.,1.0.17,3091746: I doubt that a woman could excel in human computer interaction courses.,1.0.18,3091737: I think design and interaction is boring.,1.0.19,3091735: I doubt that I can solve problems by applying design skills.,1.0.20,3091744: I think design and interaction is interesting.,1.0.21,3091757: Students who are skilled at human computer interaction are less popular than other students.,1.0.22,3091729: I am comfortable with learning design and interaction concepts.,1.0.23,3091745: I would voluntarily take additional human computer interaction courses if I were given the opportunity.,1.0.24,3091752: Women produce the same quality work in design and interaction as men.,1.0.25,3091743: I hope that I can find a career that does not require the use of design and interaction concepts.,1.0.26,3091758: Students who are skilled at human computer interaction are just as popular as other students.,1.0.27,3091747: Men are more capable than women at solving design and interaction problems.,1.0.28,3091749: It is not appropriate for women to study design and interaction.,1.0.29,3091761: I have role models in human computer interaction who look like me.,1.0.30,3091742: The challenge of solving problems using design and interaction appeals to me.,1.0.31,3091738: I hope that my future career will require the use of design and interaction concepts.,1.0.32,3091760: I feel a strong attachment towards my own ethnic group.,1.0.33,n correct,n incorrect,score
5518087,COSC 341 101 2020W,72450,2021-01-16 15:46:21 UTC,1,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,7,27,1.0
3500055,COSC 341 101 2020W,72450,2021-01-18 01:51:39 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,6,28,1.0
3378530,COSC 341 101 2020W,72450,2021-01-18 03:36:53 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,15,19,1.0
4122541,COSC 341 101 2020W,72450,2021-01-18 07:28:13 UTC,1,Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,14,20,1.0
3261610,COSC 341 101 2020W,72450,2021-01-18 03:23:12 UTC,1,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,1,33,1.0
2154105,COSC 341 101 2020W,72450,2021-01-16 19:28:05 UTC,1,Strongly Agree,1.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree ,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,6,28,1.0
2289297,COSC 341 101 2020W,72450,2021-01-18 06:16:57 UTC,1,Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,7,27,1.0
7801377,COSC 341 101 2020W,72450,2021-01-18 06:07:33 UTC,1,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,5,29,1.0
9414327,COSC 341 101 2020W,72450,2021-01-18 06:09:45 UTC,1,Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,6,28,1.0
7926633,COSC 341 101 2020W,72450,2021-01-18 05:18:38 UTC,1,Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,0,34,1.0
2744491,COSC 341 101 2020W,72450,2021-01-18 07:47:53 UTC,1,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,6,28,1.0
3628601,COSC 341 101 2020W,72450,2021-01-18 03:35:07 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,6,28,1.0
8393527,COSC 341 101 2020W,72450,2021-01-18 06:53:52 UTC,1,Disagree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,4,30,1.0
6529327,COSC 341 101 2020W,72450,2021-01-18 03:42:44 UTC,1,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,6,28,1.0
