,g1,g0,g2
0,4708909.0,7044421.0,4466534.0
1,5469446.0,7801377.0,3173918.0
2,9037967.0,4922245.0,7015833.0
3,1784979.0,6311520.0,8692236.0
4,6135450.0,3195820.0,6529327.0
5,3628601.0,4006013.0,4427100.0
6,3378530.0,8519179.0,2409463.0
7,4156396.0,4411549.0,7748571.0
8,4731217.0,2647670.0,7748571.0
9,5518087.0,6851949.0,5961204.0
10,9744587.0,2638547.0,9002921.0
11,5452575.0,5865576.0,8736180.0
12,8145375.0,2302599.0,2297496.0
13,3360200.0,2289297.0,8830004.0
14,1702317.0,2167944.0,7926633.0
15,5991735.0,2856065.0,8830004.0
16,9983746.0,9837476.0,7894105.0
17,3209321.0,2336688.0,5826040.0
18,5022476.0,3962285.0,5274956.0
19,3500055.0,4376901.0,3745125.0
20,3817174.0,8126844.0,3199349.0
21,6393986.0,2631372.0,3694682.0
22,7521635.0,2447318.0,9245857.0
23,6839112.0,1607194.0,8718613.0
24,8371181.0,3704966.0,8393527.0
25,4122541.0,4050962.0,9891351.0
26,6057512.0,9810479.0,1838508.0
27,9306765.0,7098325.0,2937460.0
28,9983746.0,6078374.0,3718192.0
29,8735515.0,2152820.0,8142618.0
30,1889600.0,6165231.0,2154105.0
31,6738937.0,6457402.0,2740813.0
32,2618758.0,8458599.0,9742786.0
33,8799357.0,9818162.0,6827055.0
34,6609618.0,8012852.0,5810166.0
35,8235486.0,4186751.0,9152350.0
36,2861630.0,2869121.0,5329311.0
37,3005552.0,5441260.0,8109799.0
38,9176657.0,1468005.0,3417203.0
39,3630515.0,9331648.0,8699995.0
40,3068218.0,9066340.0,6861978.0
41,5023118.0,8975820.0,1304297.0
42,9809827.0,,1584309.0
43,2767857.0,,3312077.0
44,5813967.0,,6257926.0
45,4950537.0,,5123916.0
46,7680659.0,,4121537.0
47,2272326.0,,4826483.0
48,9414327.0,,6393986.0
49,6171724.0,,7851177.0
50,3243282.0,,6492931.0
51,8717334.0,,4417113.0
52,9401179.0,,5548935.0
53,8733315.0,,5152483.0
54,3777033.0,,
55,7624796.0,,
56,5991735.0,,
57,9620106.0,,
58,7449285.0,,
59,6797783.0,,
